file_name,bill_date,account_name,account_number
 110000072774-Pomeroy Gardens LP-20170707.pdf,20170707,Pomeroy Gardens LP, 110000072774
 110000072774-Pomeroy Gardens LP-20170606.pdf,20170606,Pomeroy Gardens LP, 110000072774
 110000072774-Pomeroy Gardens LP-20170504.pdf,20170504,Pomeroy Gardens LP, 110000072774
 110000072774-Pomeroy Gardens LP-20170406.pdf,20170406,Pomeroy Gardens LP, 110000072774
 110000072782-Pomeroy Gardens LP-20180522.pdf,20180522,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20180503.pdf,20180503,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20180404.pdf,20180404,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20180306.pdf,20180306,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20180206.pdf,20180206,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20180105.pdf,20180105,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20171206.pdf,20171206,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20171106.pdf,20171106,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20171005.pdf,20171005,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20170907.pdf,20170907,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20170807.pdf,20170807,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20170707.pdf,20170707,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20170606.pdf,20170606,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20170504.pdf,20170504,Pomeroy Gardens LP, 110000072782
 110000072782-Pomeroy Gardens LP-20170406.pdf,20170406,Pomeroy Gardens LP, 110000072782
 110000072790-Pomeroy Gardens LP-20180605.pdf,20180605,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20180503.pdf,20180503,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20180404.pdf,20180404,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20180306.pdf,20180306,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20180206.pdf,20180206,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20180105.pdf,20180105,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20171206.pdf,20171206,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20171106.pdf,20171106,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20171005.pdf,20171005,Pomeroy Gardens LP, 110000072790
 110000072790-Pomeroy Gardens LP-20170907.pdf,20170907,Pomero
